ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database,n_genes_input,category,subcategory
HALLMARK_HYPOXIA,Genes up-regulated in response to low oxygen levels (hypoxia).,16/103,100/2091,0.16,3.2481553398058254,5.242932320325666,1.634194072646995e-5,3.8065152806810636e-4,2.6408838071710725e-4,123/4015/30001/3669/5033/2584/3939/6515/6275/7360/1490/26355/302/2997/5054/3099,16,ATRT_vs_MB,Up,Hallmark,226,NA,NA
hsa00514,Other types of O-glycan biosynthesis,8/143,17/3259,0.47058823529411764,10.724804607157548,8.610803403431829,1.9682980747796718e-7,4.389304706758668e-5,4.040190785074063e-5,285203/2683/2590/8693/55568/283464/8985/79709,8,ATRT_vs_MB,Up,KEGG,226,Metabolism,Glycan biosynthesis and metabolism
R-HSA-1474290,Collagen formation,11/169,39/4133,0.28205128205128205,6.897739341526324,7.640128174796976,2.3925154874561227e-7,1.7297886974307767e-4,1.6243920941149466e-4,136227/5351/4015/10536/10491/5033/8985/79709/7837/64175/871,11,ATRT_vs_MB,Up,Reactome,226,NA,NA
GO:0009101,glycoprotein biosynthetic process,22/221,90/5514,0.24444444444444444,6.09894419306184,9.965081595200955,3.1228047536756537e-12,1.031774690614436e-8,9.440731844796292e-9,285203/2683/2590/8693/6646/10905/113189/55568/283464/84061/8985/3074/26229/11285/79709/5074/347734/29929/9375/81031/10195/55858,22,ATRT_vs_MB,Up,GO_BP,226,NA,NA
GO:0008194,UDP-glycosyltransferase activity,12/224,34/5624,0.35294117647058826,8.861344537815127,9.363572037569725,3.0024623591093512e-9,1.8525192755704697e-6,1.6339716206942472e-6,285203/2683/2590/8693/55568/283464/8985/3074/26229/11285/79709/2997,12,ATRT_vs_MB,Up,GO_MF,226,NA,NA
GO:0030312,external encapsulating structure,25/226,208/5669,0.1201923076923077,3.0149123553437716,6.032560864776716,5.636044361356057e-7,1.0623943621156167e-4,1.0174543241816461e-4,136227/143282/9518/7059/5351/4015/7078/145864/3383/8985/7837/2201/6275/1490/6277/64175/307/3958/302/311/4054/871/5054/714/6281,25,ATRT_vs_MB,Up,GO_CC,226,NA,NA
HALLMARK_E2F_TARGETS,Genes encoding cell cycle related targets of E2F transcription factors.,45/214,116/2091,0.3879310344827586,3.7904850145020945,10.439339765798389,2.3886530434532006e-17,1.0510073391194084e-15,9.554612173812805e-16,10274/3149/3148/7112/55148/11168/27338/5885/23047/7913/1027/51155/8243/5902/3925/10535/11051/4292/5511/2547/3978/5411/5395/51747/9924/6426/4176/7153/4174/23468/29089/3184/4173/4001/3609/1854/3835/6427/79077/4171/4175/9126/4085/1786/4678,45,ATRT_vs_MB,Down,Hallmark,736,NA,NA
hsa03082,ATP-dependent chromatin remodeling,38/354,55/3259,0.6909090909090909,6.360657421674371,13.994495530185919,4.520493587621844e-25,1.2657382045341165e-22,1.2086372329009984e-22,53615/57459/57634/51773/9031/55929/51412/8467/8089/6599/57492/10445/125476/3066/6605/11177/8099/10902/2186/6598/6597/9112/6601/9555/317772/55257/1108/6602/55506/55193/8295/9219/196528/5928/8289/54815/1107/5977,38,ATRT_vs_MB,Down,KEGG,736,Genetic Information Processing,Chromosome
R-HSA-212165,Epigenetic regulation of gene expression,60/480,109/4133,0.5504587155963303,4.739678899082569,14.341497971635073,3.807184511674238e-29,4.3782621884253736e-26,3.5627231903983136e-26,22880/53615/6613/57459/9031/23411/7343/8467/55729/6599/4221/57492/1788/10445/9611/3066/6605/4297/11168/25942/6598/6597/9112/5925/22976/6601/5929/8359/23309/11335/79813/3054/259282/64426/9739/7913/3020/1108/6602/5469/10155/79718/26993/9219/5928/8289/9862/10919/54815/1810/9612/8841/23468/112869/29128/1107/5977/1020/1786/79611,60,ATRT_vs_MB,Down,Reactome,736,NA,NA
GO:0006325,chromatin organization,155/701,331/5514,0.46827794561933533,3.6834302313053,19.215813501409418,6.289180223647184e-57,2.8389359529543387e-53,2.586508119346268e-53,8545/22880/6045/23774/53615/57459/29890/8019/8479/7468/84733/57634/23013/51773/9031/55929/51412/23411/8467/55729/8971/10951/8089/6599/3148/57332/11143/84864/4152/4221/345630/23234/7290/546/57492/1788/51317/10445/125476/3007/23028/9611/3066/6605/58499/11177/4297/339287/10902/2186/11168/25942/6598/6597/84656/201161/9112/5925/114991/5885/22976/6601/5929/10927/8359/3008/9555/50809/142/4676/54780/11335/79813/3054/7443/317772/55257/27336/64426/23168/26097/51780/9739/7913/3020/1108/6602/8805/9730/6015/91746/10363/9329/55506/54969/6419/10155/222229/55193/4204/79718/8295/54892/9219/3009/23558/9656/3151/55023/10428/196528/5928/8289/3146/23310/10919/84823/3006/54815/6421/25836/11011/115426/6596/7153/8841/23468/23186/23326/112869/29128/1107/9416/2332/6733/5977/4001/9810/328/64710/54971/1106/10013/23476/4796/10432/4171/7158/6294/3150/1786/9733/4678/10473/79366,155,ATRT_vs_MB,Down,GO_BP,736,NA,NA
GO:0003682,chromatin binding,123/725,232/5624,0.5301724137931034,4.1126753864447085,18.625254145212313,1.817432346222433e-51,1.3358127744734882e-48,1.1115033612160353e-48,22880/6045/1912/53615/57459/8019/7468/23394/84733/57634/10274/2551/51412/23411/7343/8467/64641/8971/10951/9878/6599/57332/11143/4221/7290/546/57492/23060/1788/51317/3007/23028/3066/6605/4297/11168/25942/6598/7155/6597/84656/5430/9112/5885/23211/6601/23309/3008/9555/50809/142/4676/11335/57727/3054/7443/84324/51780/3020/1108/6602/8805/6015/5469/8243/55506/54969/10155/1059/4774/222229/91875/55193/27245/4204/9219/3009/23558/11051/3151/4292/5928/8289/10919/7019/3006/23636/6421/7936/25836/116092/7153/6829/9612/8841/2962/23468/29089/23186/7469/4841/3184/1107/2332/10592/328/64710/27316/1106/23476/2072/1655/6777/1487/2521/9126/6294/3150/6935/1786/10473/4089/79366,123,ATRT_vs_MB,Down,GO_MF,736,NA,NA
GO:0000785,chromatin,166/717,327/5669,0.5076452599388379,4.013725214216558,21.36041896535548,3.959476192623266e-68,2.264820382180508e-65,1.833862657636039e-65,22880/6045/23774/1912/53615/57459/8019/7468/23394/7182/84733/57634/4802/10274/2551/5514/51773/9031/55929/51412/1385/23411/51592/8467/64641/8971/10951/8089/9878/6599/3148/57332/23126/6925/11143/4221/7290/546/57492/1788/10445/125476/3007/4661/23028/9611/6664/3066/6605/1060/11177/8099/7112/339287/10902/9839/2186/6877/11168/25942/6598/7155/6597/84656/9112/5925/114991/5885/6601/10927/8359/23309/3008/9555/50809/142/4676/11335/79813/3054/7443/317772/55257/64426/23047/6878/51780/9739/10409/7913/5015/7515/3020/1108/6602/8805/6015/5469/55506/54969/10155/1059/4774/222229/55193/4204/440686/8295/26993/9219/3009/23558/3151/10428/5989/196528/5928/8289/4781/23310/10919/3182/3006/54815/6421/7936/25836/23383/4176/115426/1810/9612/8841/7392/23468/23326/112869/29128/3184/1107/9416/6733/5977/10592/9810/64710/23063/27316/57215/1106/3191/253738/23476/4796/3835/6777/4171/9126/4784/3150/6935/1786/4678/10473/4089/79366,166,ATRT_vs_MB,Down,GO_CC,736,NA,NA
HALLMARK_MYC_TARGETS_V2,A subgroup of genes regulated by MYC - version 2 (v2).,11/141,45/2091,0.24444444444444444,3.625059101654846,4.785837205729953,1.2330000802211006e-4,0.005548500360994953,0.004542631874498792,64216/3099/79050/10199/4174/705/23160/51388/4173/27340/10514,11,ATRT_vs_EPN_like,Up,Hallmark,319,NA,NA
hsa03008,Ribosome biogenesis in eukaryotes,22/186,50/3259,0.44,7.709462365591398,11.760846909036326,2.8399634503085352e-15,6.986310087758997e-13,6.726229224414953e-13,10799/55781/84128/84916/10199/55226/55813/55127/55272/134430/51096/23160/10436/5822/9790/84135/10813/65083/10607/10556/54464/23560,22,ATRT_vs_EPN_like,Up,KEGG,319,Genetic Information Processing,Translation
R-HSA-6790901,rRNA modification in the nucleus and cytosol,28/235,48/4133,0.5833333333333334,10.25921985815603,15.841348740095189,1.7223532064819415e-23,1.4347202209994572e-20,1.4213946461914128e-20,84128/27292/84916/25926/22984/25879/79050/10199/55226/55813/55127/55272/134430/51096/56902/23160/10436/11056/5822/9790/51202/27340/84135/57647/10813/65083/10607/57050,28,ATRT_vs_EPN_like,Up,Reactome,319,NA,NA
GO:0042254,ribosome biogenesis,55/309,193/5514,0.2849740932642487,5.0852658584435835,14.075544968768417,1.31424499024054e-25,4.176670578984436e-22,4.1668483269521124e-22,10799/55781/64216/51575/84128/3669/79954/54475/27292/1662/64745/84916/55003/25926/22984/25879/79050/10199/55226/55813/9188/55127/55027/55272/705/134430/51096/56902/5394/23160/10436/51388/11056/55720/51106/5822/9790/51202/27340/84135/57647/26155/10813/65083/10607/83939/57050/23517/10514/10556/117246/55661/90441/23560/90459,55,ATRT_vs_EPN_like,Up,GO_BP,319,NA,NA
GO:0016853,isomerase activity,34/312,230/5624,0.14782608695652175,2.664659977703456,6.24692498369242,9.536477210353768e-8,3.0280564603668626e-5,2.7672203225556028e-5,29785/64005/56916/2071/5373/4343/1662/10212/24137/81567/1659/9188/4174/5034/10682/60681/3832/4175/11056/1973/4173/51202/4172/4627/5480/4171/57647/4176/4641/10954/23517/8560/55661/169714,34,ATRT_vs_EPN_like,Up,GO_MF,319,NA,NA
GO:0030684,preribosome,33/317,75/5669,0.44,7.868643533123029,14.5722588891537,2.246444730680408e-22,1.0445967997663897e-19,1.0049884321464982e-19,55781/84128/79954/27292/84916/22984/25879/79050/10199/55226/55813/55127/55272/705/134430/51096/56902/5394/23160/10436/51388/5822/9790/27340/84135/57647/26155/10813/65083/10607/57050/117246/90441,33,ATRT_vs_EPN_like,Up,GO_CC,319,NA,NA
hsa04725,Cholinergic synapse,14/227,45/3259,0.3111111111111111,4.466568771414587,6.406296146971675,1.0169085991892732e-6,2.633252283546422e-4,2.1247588570702836e-4,55970/2767/2775/2776/2771/2783/5594/2787/1385/59345/2773/818/207/2782,14,ATRT_vs_EPN_like,Down,KEGG,438,Organismal Systems,Nervous system
R-HSA-5617833,Cilium Assembly,30/269,99/4133,0.30303030303030304,4.655852202320604,9.713506112529156,1.927608799539519e-13,9.921978769842088e-11,9.110159776032899e-11,54585/9742/79659/28981/89891/57539/51626/10383/1069/26160/55764/403/84747/80173/6102/56912/27077/57728/79989/26146/79969/26123/83658/8100/123016/11020/92104/79598/95681/4957,30,ATRT_vs_EPN_like,Down,Reactome,438,NA,NA
GO:0044782,cilium organization,49/419,136/5514,0.3602941176470588,4.741436192615471,12.668532556677844,6.681533796091298e-22,2.7167116414907215e-18,2.466540949778124e-18,9742/79659/28981/89891/57539/51626/145173/6738/26160/123872/89765/55764/83538/51364/403/84747/9576/80173/6102/56912/27077/90506/345895/221421/57728/79989/26146/79969/26123/9368/5990/1767/56683/352909/9696/8100/123016/5991/11020/92104/202018/83544/29105/79598/116143/207/95681/79583/4957,49,ATRT_vs_EPN_like,Down,GO_BP,438,NA,NA
GO:0031683,G-protein beta/gamma-subunit complex binding,7/426,10/5624,0.7,9.241314553990609,7.466739332410331,1.3396138643511487e-6,9.310316357240483e-4,8.95426109329452e-4,2767/2775/2776/2771/1069/10672/2773,7,ATRT_vs_EPN_like,Down,GO_MF,438,NA,NA
GO:0005929,cilium,78/431,280/5669,0.2785714285714286,3.6640868412330128,13.114269677849956,4.377826144907413e-26,2.2195578554680585e-23,1.8340787428138428e-23,8842/54585/1808/2767/9742/79659/28981/89891/57539/51626/2776/1027/2771/481/10383/1069/4131/493/4082/203/6738/26160/123872/146845/89765/3796/55764/83538/403/84747/23136/9576/80173/6102/56912/1499/124045/5594/83853/476/122481/27077/90506/84058/345895/221421/80129/57728/1770/79989/26146/1385/26123/9368/2947/1767/56683/83658/9696/8100/123016/11020/92104/202018/83544/10856/2773/29105/55684/85379/23230/7248/8607/207/2782/95681/79583/4957,78,ATRT_vs_EPN_like,Down,GO_CC,438,NA,NA
HALLMARK_E2F_TARGETS,Genes encoding cell cycle related targets of E2F transcription factors.,32/176,116/2091,0.27586206896551724,3.277429467084639,7.6495426084219025,2.4447903809387667e-10,1.0757077676130573e-8,9.007122456090193e-9,79677/3838/9319/7037/5111/5558/4436/4172/4175/24137/10212/6749/4678/4171/8726/5983/4999/4176/81611/5982/4174/4085/10051/4173/983/29028/3978/1503/3835/4288/3148/29089,32,ATRT_vs_Glial,Up,Hallmark,430,NA,NA
hsa03008,Ribosome biogenesis in eukaryotes,26/230,50/3259,0.52,7.368173913043479,12.502730798426862,7.947227434067645e-18,1.7642844903630171e-15,1.6814660149974701e-15,10799/55781/84128/84916/10436/10199/55813/55272/55226/23560/5822/9790/55127/23160/10885/51096/10607/65083/10556/134430/4931/10813/55131/54464/84135/2091,26,ATRT_vs_Glial,Up,KEGG,430,Genetic Information Processing,Translation
R-HSA-6790901,rRNA modification in the nucleus and cytosol,31/308,48/4133,0.6458333333333334,8.666328463203465,15.158345647056743,3.459412975909101e-24,3.196497589740009e-21,2.9350387985081427e-21,84128/27292/25926/84916/25879/79050/10436/22984/10199/55813/11056/27340/55272/55226/5822/9790/55127/57647/56902/23160/10885/51096/57050/4839/10607/51202/65083/134430/10813/84135/2091,31,ATRT_vs_Glial,Up,Reactome,430,NA,NA
GO:0042254,ribosome biogenesis,72/415,193/5514,0.37305699481865284,4.956713902241088,15.962180318778383,1.6040966513625508e-33,5.595089119952577e-30,5.399895885323618e-30,10799/55781/64216/51575/64745/84128/79954/54475/27292/1662/25926/84916/55003/25879/79050/3669/10436/22984/23517/10199/55813/55027/11056/9188/27340/22894/55272/55720/51106/55226/23560/5394/5822/9790/55127/57647/9775/56902/23160/10885/5393/51096/57050/54606/4839/26155/10607/51202/64794/23016/65083/10556/705/134430/4931/51010/10514/117246/10813/27043/23029/4869/90459/30836/55661/23481/55299/23246/90441/83743/84135/2091,72,ATRT_vs_Glial,Up,GO_BP,430,NA,NA
GO:0140640,"catalytic activity, acting on a nucleic acid",68/423,300/5624,0.22666666666666666,3.0136485421591805,10.222004658233672,1.2061433539896583e-17,8.430942044387712e-15,7.414607565578531e-15,10799/56916/64216/8091/2071/2956/5111/5558/4436/4172/27292/4175/1662/1659/10212/4343/23244/3669/4171/10436/23517/5983/4176/84172/2237/5982/4174/11056/9188/81627/56897/5422/22894/55621/51106/4173/55226/5394/57647/9775/5393/54606/4839/51202/64794/23016/3978/1665/9044/79731/10556/51010/117246/5437/4234/54464/11284/8087/54517/90459/55661/9533/54973/5965/51651/2091/80324/1022,68,ATRT_vs_Glial,Up,GO_MF,430,NA,NA
GO:0030684,preribosome,37/426,75/5669,0.49333333333333335,6.565039123630673,13.828256098125276,1.399772146632369e-22,6.732904025301694e-20,6.144263001533661e-20,55781/84128/79954/27292/84916/25879/79050/10436/22984/10199/55813/27340/55272/55226/5394/5822/9790/55127/57647/56902/23160/10885/51096/57050/26155/10607/65083/705/134430/117246/10813/30836/23481/23246/90441/84135/2091,37,ATRT_vs_Glial,Up,GO_CC,430,NA,NA
HALLMARK_MITOTIC_SPINDLE,Genes important for mitotic spindle assembly.,38/359,119/2091,0.31932773109243695,1.8599283724631912,4.396719172145122,3.5904367007146056e-5,0.001614233336145347,0.0013870963146254327,2037/6709/6711/57580/10006/23012/4082/7248/5048/3996/394/8976/10160/127829/23580/7531/396/4763/10611/9371/1739/274/2017/29/22920/23365/10163/7277/7461/667/613/10300/5829/11135/7074/7204/10801/4983,38,ATRT_vs_Glial,Down,Hallmark,939,NA,NA
hsa04724,Glutamatergic synapse,24/577,46/3259,0.5217391304347826,2.946876648330947,6.167313835758562,9.246210491268282e-8,1.6681055541348378e-5,1.0247369334715093e-5,2775/55970/2776/5594/5578/5595/59345/2771/2783/5530/5567/2782/3709/2752/6507/6506/23154/5534/2773/2898/2893/156/2890/23236,24,ATRT_vs_Glial,Down,KEGG,939,Organismal Systems,Nervous system
R-HSA-112316,Neuronal System,64/656,144/4133,0.4444444444444444,2.800135501355013,9.549577455558971,1.1041408930156296e-16,1.3691347073393807e-13,1.0901938501564849e-13,2037/217/55970/5594/5578/5595/2036/4646/59345/18/2771/2783/5879/818/10313/817/5567/4128/2782/590/347733/7915/7280/1312/55327/2752/10611/6812/94030/23136/27020/57669/6507/1739/6506/160/3845/5789/8573/1173/2773/3556/781/6196/4905/7277/2898/163/1175/83988/5565/79861/2893/7102/80086/8825/10382/28964/54413/2890/6844/10381/23236/3766,64,ATRT_vs_Glial,Down,Reactome,939,NA,NA
GO:0030029,actin filament-based process,127/894,394/5514,0.3223350253807107,1.9880932102340478,8.95267488202187,1.9737878419471347e-16,9.872886785419569e-13,8.402103192457068e-13,118/2037/120/6709/6711/81553/1809/57580/10006/23396/26999/388/84168/2036/10580/10787/4082/7248/4646/6717/81873/5962/5879/28988/114793/5048/3996/830/10552/8976/4035/22902/5339/817/5295/10152/7111/5898/10160/7082/348110/961/287/65108/2764/1465/23580/391/29767/83660/11188/1073/2475/23122/23191/9444/64236/9922/5217/63916/4763/10611/5290/477/1785/2059/23136/57669/1739/57551/3636/274/3845/2017/9578/55160/55740/50488/116985/476/399687/85477/9368/2824/51571/57026/23406/29085/10163/84687/119/781/140465/25802/8572/84978/5872/57482/5881/55616/5911/613/5829/11135/30011/10391/10458/10801/1266/2039/79778/4983/26084/8153/10634/56907/79784/55604/57731/9026/22998/22808/54749/2318/4644/25959/7168,127,ATRT_vs_Glial,Down,GO_BP,939,NA,NA
GO:0005525,GTP binding,68/920,203/5624,0.33497536945812806,2.047718997644035,6.7235313310002915,7.959464380013062e-10,5.843412855699712e-7,5.011144681192159e-7,23176/2775/2776/388/5869/2771/2794/2767/10672/55207/5879/2634/5868/4735/30845/5898/53916/9230/127829/10890/989/7879/391/347733/201475/23011/8396/403/5870/7280/51128/81876/2983/10670/51560/51715/1785/11021/64121/26052/3845/5906/5414/55915/50808/2633/6009/51062/2773/6102/5872/7277/2768/318/5881/5911/11031/79861/5027/80086/10382/116988/10801/8153/10381/2746/22800/22808,68,ATRT_vs_Glial,Down,GO_MF,939,NA,NA
GO:0098590,plasma membrane region,136/923,450/5669,0.3022222222222222,1.8562272781991092,8.347445121345226,8.847774032654599e-15,5.184795583135595e-12,3.3435272397084224e-12,55198/495/2775/6711/5594/23396/388/84168/5595/10580/10787/975/4646/10672/5962/2823/5879/10552/361/493/4035/4897/4735/30845/5898/10160/7082/6814/1399/10768/287/3685/989/4685/23011/23122/4478/11258/5728/5213/490/24138/1410/482/208/55327/1499/8867/477/928/1785/9429/3675/6812/11021/94030/2059/55914/23136/27020/57669/6507/10617/1739/5064/3636/6506/64398/160/960/2060/376497/5789/476/115207/22920/9368/84896/8573/481/3705/9351/57026/27347/10163/1173/84687/529/6810/5335/8613/92154/5364/9847/523/119/781/2596/2026/9342/6102/8572/57406/526/8671/9053/8082/2768/2898/8140/113026/163/667/5911/6855/161742/2893/8714/8825/5420/8898/64805/9194/10458/26123/54413/2890/2039/56907/26232/583/9026/288/9854/3766/7168,136,ATRT_vs_Glial,Down,GO_CC,939,NA,NA
HALLMARK_E2F_TARGETS,Genes encoding cell cycle related targets of E2F transcription factors.,64/258,116/2091,0.5517241379310345,4.471531676022454,14.430066766063456,6.4434172322228616e-31,2.963971926822516e-29,2.713017781988573e-29,4174/24137/79677/4176/10212/4175/4173/4085/3978/4171/8726/9918/4830/55148/4172/9319/10051/4292/27338/7153/3149/29028/4999/3838/3835/29089/1503/1786/7913/7112/3148/4678/4436/5558/10274/203068/55646/23047/10492/6749/11340/10535/51155/5982/5983/79077/4288/2547/3925/25842/51747/4001/1854/81611/8243/10528/5111/3184/9221/6426/9126/3930/23468/5395,64,MB_vs_EPN_like,Up,Hallmark,793,NA,NA
hsa03008,Ribosome biogenesis in eukaryotes,34/374,50/3259,0.68,5.925454545454547,12.635280613764436,2.37825950362262e-21,6.492648444889752e-19,6.458852125627747e-19,23195/10482/55131/9790/345630/55651/51096/134430/55272/84916/55127/4809/5822/23160/55226/23560/26354/10813/6949/55813/10607/51602/10528/10199/1736/10436/54433/84135/10556/55505/2091/10799/55781/10885,34,MB_vs_EPN_like,Up,KEGG,793,Genetic Information Processing,Translation
