"","EPN03","EPN04","GN01","GN03","EPN02","EPNO5","EPN01","GN02","HGG01","MB04","MB06","MB02","MB01","MB03","MB05","MB07","GN06","HGG04","A01","LGG02","LGG03","LGG04","PA01","PA02","PA03","PA04","PA05","PA06","PA07","GN04","GN05","A02","HGG02","ATRT02","ATRT01","ATRT03","HGG03","LGG01"
"EPN03",1,0.78394342072074,0.740503049212779,0.72680938379721,0.883882260706224,0.836730717827932,0.85185944041319,0.770682558199098,0.75726330369887,0.674383570523673,0.592755490194444,0.624864303286543,0.615674788063847,0.614714393701248,0.625271490519276,0.624076829276787,0.709053703598605,0.590525134883179,0.668047861129868,0.770297982197514,0.683861229006993,0.70273159120637,0.640180686226114,0.674664801296673,0.65168241891407,0.659463823393305,0.716105348172761,0.703980396009733,0.6555523217183,0.751762343166533,0.630270689251293,0.542512709029998,0.720205920883164,0.59349974991444,0.616724298339651,0.622537408074162,0.657100847212633,0.670948885693874
"EPN04",0.78394342072074,1,0.686517209047542,0.727043888796862,0.759969293962128,0.741710145981048,0.783875807422724,0.744485760721108,0.702487539558389,0.627777180039281,0.530290313150426,0.594743683346168,0.559084996900432,0.578749075767931,0.582952003900319,0.578356601167301,0.67401156908676,0.573408146056834,0.630744756508463,0.730810830357844,0.679350868973942,0.687916678210705,0.617928132203324,0.66676622949459,0.639952178437343,0.665830499003075,0.681368856030828,0.677425546453519,0.637474789594903,0.720680488930865,0.599400202503132,0.564423389339638,0.691640809947317,0.578580276603007,0.609418106497432,0.612220842777568,0.652885325789165,0.679024668827005
"GN01",0.740503049212779,0.686517209047542,1,0.669713390858186,0.671975006245993,0.68509945075861,0.718252234992415,0.698511088056974,0.874563157227723,0.721991843887147,0.632643049492473,0.678484237054013,0.642192126617974,0.663444449318252,0.669917203899219,0.654711386628214,0.674048321888473,0.60150431012455,0.581392697067242,0.718055085985274,0.664223306048201,0.652477741794547,0.567785510335299,0.651641809223592,0.577977493715657,0.634181174752414,0.644473470497234,0.643007263918445,0.609171644278316,0.675744944157731,0.567030496395406,0.537669947089119,0.674830700185462,0.630159211249601,0.638079258610657,0.649049794714305,0.652472558900637,0.708182907902267
"GN03",0.72680938379721,0.727043888796862,0.669713390858186,1,0.720540839144419,0.642180116663939,0.73661208708943,0.788679600144163,0.69036696517893,0.653522912240644,0.58588099169074,0.60292739773664,0.568090139600202,0.609635998040486,0.611618369909369,0.588588363073659,0.628809036384112,0.527495111337751,0.555570514518926,0.652152980324363,0.62208979127521,0.627967778122548,0.568269457871508,0.618613096219931,0.567140815614404,0.612316558278262,0.583742709061194,0.616985771873968,0.58632755561455,0.700153844467361,0.5117866538162,0.536279944282456,0.67223240581551,0.620449741175438,0.657017678093052,0.683001381308179,0.670038293684578,0.664228903616213
"EPN02",0.883882260706224,0.759969293962128,0.671975006245993,0.720540839144419,1,0.801890591043577,0.806366186906853,0.751065059489891,0.700763045753228,0.590639453787641,0.521685107932507,0.538665584303588,0.526176978987039,0.563446018328308,0.546679028222085,0.549020709093302,0.688720068979474,0.592624462572955,0.699805588618541,0.738624851231752,0.660035745909614,0.683928165273286,0.656989912151552,0.656270995401155,0.651231644241252,0.641892601082494,0.700587753597302,0.703609659764109,0.655954535868064,0.737107838401281,0.653655774924989,0.545009569956132,0.681612478725037,0.520808781682399,0.546047279086761,0.552589576474839,0.602674711898717,0.62696541681189
"EPNO5",0.836730717827932,0.741710145981048,0.68509945075861,0.642180116663939,0.801890591043577,1,0.776351769131145,0.747396328363524,0.720532369734354,0.574415254418316,0.474077400244381,0.540991549082733,0.507271120471649,0.524566246866059,0.526173456605808,0.543341418906287,0.759725022545016,0.654947137341183,0.77129800120388,0.782235060186958,0.755823527787176,0.776274534467053,0.736400191066243,0.742822173904732,0.758971297533231,0.730256344821734,0.814617123783319,0.789995378290858,0.739926371127948,0.792834257605747,0.744343365793364,0.591506770442799,0.719737213387396,0.492278100095643,0.582600693579981,0.553274777922275,0.647831247592228,0.678072813581808
"EPN01",0.85185944041319,0.783875807422724,0.718252234992415,0.73661208708943,0.806366186906853,0.776351769131145,1,0.800541342227215,0.764541046743264,0.71454592090194,0.644092894619524,0.643994220033004,0.621289210595185,0.664419671990807,0.651282862536569,0.66148390417549,0.707554010817876,0.610368052337806,0.676962557589807,0.756576848709351,0.701878519774643,0.715032760321846,0.677382729802465,0.708434017652928,0.67416353320968,0.689871189378698,0.696267791544247,0.718096582643675,0.681426510574249,0.735293506995907,0.603899988816325,0.628410085389464,0.715567257889869,0.637770761496716,0.681964678330614,0.682875464430688,0.685451552911702,0.713418824857526
"GN02",0.770682558199098,0.744485760721108,0.698511088056974,0.788679600144163,0.751065059489891,0.747396328363524,0.800541342227215,1,0.746241765185967,0.667099332859893,0.565009595158497,0.626174295974832,0.587851369325751,0.631947086184265,0.606499061365662,0.632240590646784,0.753017035953829,0.699991162888432,0.714220845592166,0.823136039773761,0.81298213895807,0.820779352221973,0.739801634014246,0.798739524322134,0.740260838452256,0.784142732221065,0.761733814809652,0.816159997910358,0.759857557485882,0.790970634908944,0.687876416305348,0.66377343400084,0.734540346156349,0.592212539249669,0.691890622377432,0.673386466198371,0.747914314061023,0.783005905207844
"HGG01",0.75726330369887,0.702487539558389,0.874563157227723,0.69036696517893,0.700763045753228,0.720532369734354,0.764541046743264,0.746241765185967,1,0.723891315632864,0.637991747657202,0.676741681846243,0.638090256837545,0.696317521872899,0.666421147051908,0.688644174913349,0.716523371357712,0.656885443964708,0.661779095705864,0.750167242837468,0.716792332073741,0.719179790372854,0.680727173694003,0.709309186247683,0.664779973492836,0.67248034522891,0.691289589000177,0.711294465970946,0.693792652814545,0.715564547069883,0.608433086593391,0.632323166408498,0.721551024649527,0.63326847060456,0.683927775463347,0.679532090199166,0.707847460228509,0.72789928837847
"MB04",0.674383570523673,0.627777180039281,0.721991843887147,0.653522912240644,0.590639453787641,0.574415254418316,0.71454592090194,0.667099332859893,0.723891315632864,1,0.748927599006083,0.764986057627701,0.735895945104384,0.775456346891284,0.783500079806132,0.767492983591764,0.598208835918715,0.55243837881947,0.507999963221082,0.65440125060899,0.605126634515459,0.589060196439295,0.526090761533693,0.600563076072851,0.513181270271506,0.585388622907036,0.548520809725205,0.583735888827754,0.55079367010262,0.612623723437194,0.475374645634096,0.566809899543818,0.617344915156974,0.697955380293845,0.669389478840477,0.707107007418432,0.65154225806575,0.695736275546269
"MB06",0.592755490194444,0.530290313150426,0.632643049492473,0.58588099169074,0.521685107932507,0.474077400244381,0.644092894619524,0.565009595158497,0.637991747657202,0.748927599006083,1,0.733597282929026,0.718531642038613,0.760086041349942,0.758296777028439,0.730993078967747,0.519037085238068,0.465325397200467,0.408867199709671,0.526254390831773,0.487397625671544,0.474330257876755,0.418591238617154,0.478703882679163,0.404304918984377,0.480033014133586,0.433997197237728,0.47514596836819,0.454201538401083,0.483407312681514,0.374358764670082,0.462259470756737,0.518300160884345,0.713667584663019,0.638409494079603,0.699257547785602,0.570050642530255,0.587354956389189
"MB02",0.624864303286543,0.594743683346168,0.678484237054013,0.60292739773664,0.538665584303588,0.540991549082733,0.643994220033004,0.626174295974832,0.676741681846243,0.764986057627701,0.733597282929026,1,0.866206043426532,0.824113848068669,0.818170940831083,0.849954948424015,0.555096811330711,0.546719416389787,0.463272106039442,0.614076576708255,0.572951542836079,0.578696959544417,0.496528032079163,0.56959552877929,0.500969259156685,0.564291112748064,0.530012812878585,0.549520931382357,0.523649309359721,0.531949812787044,0.466799775069895,0.503430077193648,0.587190202316575,0.660345466628435,0.634774628693773,0.664894079705371,0.651143580890037,0.634940357103345
"MB01",0.615674788063847,0.559084996900432,0.642192126617974,0.568090139600202,0.526176978987039,0.507271120471649,0.621289210595185,0.587851369325751,0.638090256837545,0.735895945104384,0.718531642038613,0.866206043426532,1,0.802077250317867,0.800899835973126,0.827436423647679,0.516369391170856,0.500588442027709,0.424357632599138,0.572272294382652,0.529068762537758,0.534925475933557,0.449033573071811,0.525226384987433,0.44983987131918,0.523743991337982,0.49536416181353,0.50167424013913,0.4739617059196,0.489566932888337,0.435893283574312,0.454423562843891,0.580980645665338,0.653120409303342,0.606868099332639,0.622327766860974,0.617620018448419,0.593108076040042
"MB03",0.614714393701248,0.578749075767931,0.663444449318252,0.609635998040486,0.563446018328308,0.524566246866059,0.664419671990807,0.631947086184265,0.696317521872899,0.775456346891284,0.760086041349942,0.824113848068669,0.802077250317867,1,0.804800107188714,0.829340235724145,0.568703153182179,0.576395776944673,0.488989430465715,0.615781060812672,0.567236052245111,0.56039160048441,0.520443375824644,0.567614097239203,0.481852965591188,0.550272772792933,0.514936544093251,0.549423054390562,0.539527423202176,0.539389305098229,0.456661177300558,0.551621670567408,0.567242692041143,0.639132672873084,0.60787941925732,0.658231070630039,0.609438204882442,0.633234185367401
"MB05",0.625271490519276,0.582952003900319,0.669917203899219,0.611618369909369,0.546679028222085,0.526173456605808,0.651282862536569,0.606499061365662,0.666421147051908,0.783500079806132,0.758296777028439,0.818170940831083,0.800899835973126,0.804800107188714,1,0.809724630762227,0.565691784660274,0.525236861066915,0.472157822723299,0.600732557593058,0.567766089044641,0.569215893293006,0.497574110286387,0.568128692329268,0.488129808548525,0.554518557283879,0.519974876323543,0.547623561879638,0.521545239692162,0.541429316604561,0.44569956511384,0.513882651148727,0.576090423174407,0.658519624744326,0.623543694790948,0.664309821996755,0.632345563507228,0.644095220264201
"MB07",0.624076829276787,0.578356601167301,0.654711386628214,0.588588363073659,0.549020709093302,0.543341418906287,0.66148390417549,0.632240590646784,0.688644174913349,0.767492983591764,0.730993078967747,0.849954948424015,0.827436423647679,0.829340235724145,0.809724630762227,1,0.568540892227214,0.546409016697709,0.49183991614607,0.610904261712586,0.577006776967919,0.581472482030293,0.5488394698306,0.586640796021507,0.510177650098962,0.559179736874195,0.537156523057255,0.565297389068247,0.55608570897935,0.539675640414844,0.457227031332896,0.553919933726198,0.593468160090255,0.629878999969883,0.619205661564983,0.644311458497041,0.654377375940195,0.635255032178726
"GN06",0.709053703598605,0.67401156908676,0.674048321888473,0.628809036384112,0.688720068979474,0.759725022545016,0.707554010817876,0.753017035953829,0.716523371357712,0.598208835918715,0.519037085238068,0.555096811330711,0.516369391170856,0.568703153182179,0.565691784660274,0.568540892227214,1,0.713762083009735,0.745227496133649,0.768466717796612,0.7680743282477,0.764983852608658,0.726979435376875,0.765332872106673,0.74862644439825,0.740131469026131,0.755526015246756,0.776381265543182,0.744506378497799,0.772335740209082,0.703286350561416,0.636918629955375,0.692134217890164,0.523771283232017,0.612290122475496,0.585696083304408,0.682647447850039,0.731665228045237
"HGG04",0.590525134883179,0.573408146056834,0.60150431012455,0.527495111337751,0.592624462572955,0.654947137341183,0.610368052337806,0.699991162888432,0.656885443964708,0.55243837881947,0.465325397200467,0.546719416389787,0.500588442027709,0.576395776944673,0.525236861066915,0.546409016697709,0.713762083009735,1,0.697829010224722,0.781625246315774,0.710153900064129,0.707092982339913,0.666846217066117,0.694029888613194,0.677833885015962,0.67749090594362,0.690968459701844,0.733777963969365,0.674353070839558,0.650141982351752,0.776249792183046,0.604151426936766,0.587228714148165,0.409628990793473,0.491078281449707,0.473099194999699,0.553557176997749,0.662393848714486
"A01",0.668047861129868,0.630744756508463,0.581392697067242,0.555570514518926,0.699805588618541,0.77129800120388,0.676962557589807,0.714220845592166,0.661779095705864,0.507999963221082,0.408867199709671,0.463272106039442,0.424357632599138,0.488989430465715,0.472157822723299,0.49183991614607,0.745227496133649,0.697829010224722,1,0.73641042176087,0.762887873438869,0.776409555009953,0.834134682652087,0.766460702865161,0.828080238791005,0.746710229989975,0.784653216582442,0.827498215788114,0.815384423124564,0.76304842371442,0.771728124530256,0.663938694312808,0.660978341101963,0.425303654661768,0.540373177806149,0.499869624984482,0.607434796491808,0.654514591105536
"LGG02",0.770297982197514,0.730810830357844,0.718055085985274,0.652152980324363,0.738624851231752,0.782235060186958,0.756576848709351,0.823136039773761,0.750167242837468,0.65440125060899,0.526254390831773,0.614076576708255,0.572272294382652,0.615781060812672,0.600732557593058,0.610904261712586,0.768466717796612,0.781625246315774,0.73641042176087,1,0.809904569948658,0.811658190898599,0.727334008226028,0.778831126814403,0.747619516098397,0.768808593200775,0.794914632478249,0.826525893454323,0.756415992924018,0.76784553016827,0.774052198818879,0.63045912672028,0.712221013569937,0.536059721771164,0.620843079508214,0.604302113279742,0.694750422473588,0.783023454295977
"LGG03",0.683861229006993,0.679350868973942,0.664223306048201,0.62208979127521,0.660035745909614,0.755823527787176,0.701878519774643,0.81298213895807,0.716792332073741,0.605126634515459,0.487397625671544,0.572951542836079,0.529068762537758,0.567236052245111,0.567766089044641,0.577006776967919,0.7680743282477,0.710153900064129,0.762887873438869,0.809904569948658,1,0.925364622965452,0.782144807035822,0.901810635037637,0.819853250173738,0.859335618887628,0.851613531593917,0.882806119221643,0.833437956007835,0.773984924537766,0.713198977062311,0.708998858392366,0.724766543914135,0.547513033162849,0.677616417604159,0.628543062874841,0.768243867074478,0.827677850153694
"LGG04",0.70273159120637,0.687916678210705,0.652477741794547,0.627967778122548,0.683928165273286,0.776274534467053,0.715032760321846,0.820779352221973,0.719179790372854,0.589060196439295,0.474330257876755,0.578696959544417,0.534925475933557,0.56039160048441,0.569215893293006,0.581472482030293,0.764983852608658,0.707092982339913,0.776409555009953,0.811658190898599,0.925364622965452,1,0.801927770982788,0.892005627520245,0.838818822260755,0.856519991009094,0.872837980879388,0.89609753403671,0.839702884208937,0.784782065426914,0.724052028621497,0.707978923880975,0.738054130650299,0.526906305241087,0.66489194207635,0.612608521413242,0.769820683601335,0.798073441160779
"PA01",0.640180686226114,0.617928132203324,0.567785510335299,0.568269457871508,0.656989912151552,0.736400191066243,0.677382729802465,0.739801634014246,0.680727173694003,0.526090761533693,0.418591238617154,0.496528032079163,0.449033573071811,0.520443375824644,0.497574110286387,0.5488394698306,0.726979435376875,0.666846217066117,0.834134682652087,0.727334008226028,0.782144807035822,0.801927770982788,1,0.80427111549819,0.865968260052642,0.782649522598409,0.780994931598355,0.844765160001169,0.864511097452746,0.755887315574124,0.715105359792529,0.6991829638792,0.679842023797805,0.449457289085205,0.586937485601998,0.545242600016185,0.686126405356192,0.690678076161413
"PA02",0.674664801296673,0.66676622949459,0.651641809223592,0.618613096219931,0.656270995401155,0.742822173904732,0.708434017652928,0.798739524322134,0.709309186247683,0.600563076072851,0.478703882679163,0.56959552877929,0.525226384987433,0.567614097239203,0.568128692329268,0.586640796021507,0.765332872106673,0.694029888613194,0.766460702865161,0.778831126814403,0.901810635037637,0.892005627520245,0.80427111549819,1,0.821852302137678,0.852598578867325,0.827905282207324,0.86790243214803,0.831182946658419,0.774283909324689,0.702355945196839,0.726752467725671,0.734124443878173,0.53674751272402,0.668479318979089,0.620355650488249,0.759499112779364,0.796063221555444
"PA03",0.65168241891407,0.639952178437343,0.577977493715657,0.567140815614404,0.651231644241252,0.758971297533231,0.67416353320968,0.740260838452256,0.664779973492836,0.513181270271506,0.404304918984377,0.500969259156685,0.44983987131918,0.481852965591188,0.488129808548525,0.510177650098962,0.74862644439825,0.677833885015962,0.828080238791005,0.747619516098397,0.819853250173738,0.838818822260755,0.865968260052642,0.821852302137678,1,0.827587746187531,0.815832087084006,0.85490106599008,0.871509872237644,0.765420224856414,0.73585403270717,0.680626400497033,0.685001838567012,0.451511336692959,0.592940682483162,0.537868834896603,0.693675073072281,0.713971629776685
"PA04",0.659463823393305,0.665830499003075,0.634181174752414,0.612316558278262,0.641892601082494,0.730256344821734,0.689871189378698,0.784142732221065,0.67248034522891,0.585388622907036,0.480033014133586,0.564291112748064,0.523743991337982,0.550272772792933,0.554518557283879,0.559179736874195,0.740131469026131,0.67749090594362,0.746710229989975,0.768808593200775,0.859335618887628,0.856519991009094,0.782649522598409,0.852598578867325,0.827587746187531,1,0.794607523874326,0.834995909654289,0.83244241574481,0.753498583440765,0.687215097543364,0.683123508937448,0.700109161375755,0.522329689981794,0.640365627117484,0.603287216047204,0.730807170002433,0.784902503483123
"PA05",0.716105348172761,0.681368856030828,0.644473470497234,0.583742709061194,0.700587753597302,0.814617123783319,0.696267791544247,0.761733814809652,0.691289589000177,0.548520809725205,0.433997197237728,0.530012812878585,0.49536416181353,0.514936544093251,0.519974876323543,0.537156523057255,0.755526015246756,0.690968459701844,0.784653216582442,0.794914632478249,0.851613531593917,0.872837980879388,0.780994931598355,0.827905282207324,0.815832087084006,0.794607523874326,1,0.866531795517508,0.795647559776974,0.758250237642362,0.756624945205759,0.647687714737623,0.697921159628352,0.476516813494419,0.599528056154812,0.542596662216197,0.675718660921966,0.72713067812594
"PA06",0.703980396009733,0.677425546453519,0.643007263918445,0.616985771873968,0.703609659764109,0.789995378290858,0.718096582643675,0.816159997910358,0.711294465970946,0.583735888827754,0.47514596836819,0.549520931382357,0.50167424013913,0.549423054390562,0.547623561879638,0.565297389068247,0.776381265543182,0.733777963969365,0.827498215788114,0.826525893454323,0.882806119221643,0.89609753403671,0.844765160001169,0.86790243214803,0.85490106599008,0.834995909654289,0.866531795517508,1,0.85330976110962,0.790498754883861,0.773703874327435,0.704369773362466,0.723981262961067,0.501771905127929,0.642267215761648,0.592571271115341,0.73888700605664,0.779076376764691
"PA07",0.6555523217183,0.637474789594903,0.609171644278316,0.58632755561455,0.655954535868064,0.739926371127948,0.681426510574249,0.759857557485882,0.693792652814545,0.55079367010262,0.454201538401083,0.523649309359721,0.4739617059196,0.539527423202176,0.521545239692162,0.55608570897935,0.744506378497799,0.674353070839558,0.815384423124564,0.756415992924018,0.833437956007835,0.839702884208937,0.864511097452746,0.831182946658419,0.871509872237644,0.83244241574481,0.795647559776974,0.85330976110962,1,0.769281984115154,0.716169410530206,0.700439730788563,0.704947586180021,0.485995846395977,0.623496386244225,0.57957379735744,0.718104296984874,0.739183970019738
"GN04",0.751762343166533,0.720680488930865,0.675744944157731,0.700153844467361,0.737107838401281,0.792834257605747,0.735293506995907,0.790970634908944,0.715564547069883,0.612623723437194,0.483407312681514,0.531949812787044,0.489566932888337,0.539389305098229,0.541429316604561,0.539675640414844,0.772335740209082,0.650141982351752,0.76304842371442,0.76784553016827,0.773984924537766,0.784782065426914,0.755887315574124,0.774283909324689,0.765420224856414,0.753498583440765,0.758250237642362,0.790498754883861,0.769281984115154,1,0.695861341906573,0.633867198566671,0.73427259871123,0.529527059966202,0.644027348554262,0.62117223003539,0.711932189958194,0.746395492472352
"GN05",0.630270689251293,0.599400202503132,0.567030496395406,0.5117866538162,0.653655774924989,0.744343365793364,0.603899988816325,0.687876416305348,0.608433086593391,0.475374645634096,0.374358764670082,0.466799775069895,0.435893283574312,0.456661177300558,0.44569956511384,0.457227031332896,0.703286350561416,0.776249792183046,0.771728124530256,0.774052198818879,0.713198977062311,0.724052028621497,0.715105359792529,0.702355945196839,0.73585403270717,0.687215097543364,0.756624945205759,0.773703874327435,0.716169410530206,0.695861341906573,1,0.56738316128023,0.602625967681488,0.362965307204149,0.463272795096149,0.419933979098132,0.532586180894573,0.624169124358103
"A02",0.542512709029998,0.564423389339638,0.537669947089119,0.536279944282456,0.545009569956132,0.591506770442799,0.628410085389464,0.66377343400084,0.632323166408498,0.566809899543818,0.462259470756737,0.503430077193648,0.454423562843891,0.551621670567408,0.513882651148727,0.553919933726198,0.636918629955375,0.604151426936766,0.663938694312808,0.63045912672028,0.708998858392366,0.707978923880975,0.6991829638792,0.726752467725671,0.680626400497033,0.683123508937448,0.647687714737623,0.704369773362466,0.700439730788563,0.633867198566671,0.56738316128023,1,0.621878614058043,0.485166251681189,0.592578873849645,0.561321465288321,0.639732998279332,0.666126528274088
"HGG02",0.720205920883164,0.691640809947317,0.674830700185462,0.67223240581551,0.681612478725037,0.719737213387396,0.715567257889869,0.734540346156349,0.721551024649527,0.617344915156974,0.518300160884345,0.587190202316575,0.580980645665338,0.567242692041143,0.576090423174407,0.593468160090255,0.692134217890164,0.587228714148165,0.660978341101963,0.712221013569937,0.724766543914135,0.738054130650299,0.679842023797805,0.734124443878173,0.685001838567012,0.700109161375755,0.697921159628352,0.723981262961067,0.704947586180021,0.73427259871123,0.602625967681488,0.621878614058043,1,0.587608914934016,0.684161442409208,0.64166102667196,0.74643434620183,0.719367027347478
"ATRT02",0.59349974991444,0.578580276603007,0.630159211249601,0.620449741175438,0.520808781682399,0.492278100095643,0.637770761496716,0.592212539249669,0.63326847060456,0.697955380293845,0.713667584663019,0.660345466628435,0.653120409303342,0.639132672873084,0.658519624744326,0.629878999969883,0.523771283232017,0.409628990793473,0.425303654661768,0.536059721771164,0.547513033162849,0.526906305241087,0.449457289085205,0.53674751272402,0.451511336692959,0.522329689981794,0.476516813494419,0.501771905127929,0.485995846395977,0.529527059966202,0.362965307204149,0.485166251681189,0.587608914934016,1,0.772599924626014,0.800143918280435,0.68033250353148,0.658943354411089
"ATRT01",0.616724298339651,0.609418106497432,0.638079258610657,0.657017678093052,0.546047279086761,0.582600693579981,0.681964678330614,0.691890622377432,0.683927775463347,0.669389478840477,0.638409494079603,0.634774628693773,0.606868099332639,0.60787941925732,0.623543694790948,0.619205661564983,0.612290122475496,0.491078281449707,0.540373177806149,0.620843079508214,0.677616417604159,0.66489194207635,0.586937485601998,0.668479318979089,0.592940682483162,0.640365627117484,0.599528056154812,0.642267215761648,0.623496386244225,0.644027348554262,0.463272795096149,0.592578873849645,0.684161442409208,0.772599924626014,1,0.827120015659186,0.787533165731385,0.758630864563629
"ATRT03",0.622537408074162,0.612220842777568,0.649049794714305,0.683001381308179,0.552589576474839,0.553274777922275,0.682875464430688,0.673386466198371,0.679532090199166,0.707107007418432,0.699257547785602,0.664894079705371,0.622327766860974,0.658231070630039,0.664309821996755,0.644311458497041,0.585696083304408,0.473099194999699,0.499869624984482,0.604302113279742,0.628543062874841,0.612608521413242,0.545242600016185,0.620355650488249,0.537868834896603,0.603287216047204,0.542596662216197,0.592571271115341,0.57957379735744,0.62117223003539,0.419933979098132,0.561321465288321,0.64166102667196,0.800143918280435,0.827120015659186,1,0.749112714134479,0.741846698707486
"HGG03",0.657100847212633,0.652885325789165,0.652472558900637,0.670038293684578,0.602674711898717,0.647831247592228,0.685451552911702,0.747914314061023,0.707847460228509,0.65154225806575,0.570050642530255,0.651143580890037,0.617620018448419,0.609438204882442,0.632345563507228,0.654377375940195,0.682647447850039,0.553557176997749,0.607434796491808,0.694750422473588,0.768243867074478,0.769820683601335,0.686126405356192,0.759499112779364,0.693675073072281,0.730807170002433,0.675718660921966,0.73888700605664,0.718104296984874,0.711932189958194,0.532586180894573,0.639732998279332,0.74643434620183,0.68033250353148,0.787533165731385,0.749112714134479,1,0.825859616327451
"LGG01",0.670948885693874,0.679024668827005,0.708182907902267,0.664228903616213,0.62696541681189,0.678072813581808,0.713418824857526,0.783005905207844,0.72789928837847,0.695736275546269,0.587354956389189,0.634940357103345,0.593108076040042,0.633234185367401,0.644095220264201,0.635255032178726,0.731665228045237,0.662393848714486,0.654514591105536,0.783023454295977,0.827677850153694,0.798073441160779,0.690678076161413,0.796063221555444,0.713971629776685,0.784902503483123,0.72713067812594,0.779076376764691,0.739183970019738,0.746395492472352,0.624169124358103,0.666126528274088,0.719367027347478,0.658943354411089,0.758630864563629,0.741846698707486,0.825859616327451,1
